
i,N,M,t,
1,125,5000,0.004804,
2,125,5000,0.083872,
1,50,1879,0.000734,
2,50,1879,0.005182,
1,126,5000,0.004943,
2,126,5000,0.089285,
1,50,1891,0.000714,
2,50,1891,0.005461,
1,128,5000,0.004996,
2,128,5000,0.090666,
1,50,1904,0.000738,
2,50,1904,0.005381,
1,129,5000,0.005203,
2,129,5000,0.092377,
1,50,1916,0.000768,
2,50,1916,0.005439,
1,130,5000,0.005187,
2,130,5000,0.096525,
1,50,1928,0.000785,
2,50,1928,0.005512,
1,132,5000,0.005137,
2,132,5000,0.096719,
1,50,1940,0.000762,
2,50,1940,0.005702,
1,133,5000,0.005213,
2,133,5000,0.096597,
1,50,1953,0.000806,
2,50,1953,0.005594,
1,134,5000,0.005325,
2,134,5000,0.097498,
1,50,1965,0.000787,
2,50,1965,0.005839,
1,136,5000,0.005346,
2,136,5000,0.102900,
1,50,1977,0.000774,
2,50,1977,0.005688,
1,137,5000,0.005402,
2,137,5000,0.104674,
1,50,1989,0.000840,
2,50,1989,0.005752,
1,138,5000,0.005489,
2,138,5000,0.105078,
1,50,2002,0.000822,
2,50,2002,0.005848,
1,140,5000,0.005559,
2,140,5000,0.108834,
1,50,2014,0.000824,
2,50,2014,0.005855,
1,141,5000,0.005645,
2,141,5000,0.109845,
1,50,2026,0.000784,
2,50,2026,0.005854,
1,142,5000,0.005729,
2,142,5000,0.110465,
1,50,2038,0.000821,
2,50,2038,0.006011,
1,143,5000,0.005608,
2,143,5000,0.111403,
1,50,2051,0.000844,
2,50,2051,0.005988,
1,145,5000,0.001745,
2,145,5000,0.116427,
1,50,2063,0.000792,
2,50,2063,0.006179,
1,146,5000,0.005697,
2,146,5000,0.116413,
1,50,2075,0.000832,
2,50,2075,0.006157,
1,147,5000,0.005827,
2,147,5000,0.118861,
1,50,2088,0.000836,
2,50,2088,0.006289,
1,149,5000,0.005996,
2,149,5000,0.118880,
1,50,2100,0.000865,
2,50,2100,0.006049,
1,150,5000,0.001959,
2,150,5000,0.123050,
1,50,2112,0.000857,
2,50,2112,0.006415,
1,151,5000,0.006056,
2,151,5000,0.122330,
1,50,2124,0.000846,
2,50,2124,0.006267,
1,153,5000,0.005978,
2,153,5000,0.128000,
1,50,2137,0.000868,
2,50,2137,0.006517,
1,154,5000,0.006125,
2,154,5000,0.126362,
1,50,2149,0.000860,
2,50,2149,0.006353,
1,155,5000,0.006224,
2,155,5000,0.125542,
1,50,2161,0.000835,
2,50,2161,0.006436,
1,157,5000,0.006285,
2,157,5000,0.129602,
1,50,2173,0.000904,
2,50,2173,0.006571,
1,158,5000,0.006211,
2,158,5000,0.131262,
1,50,2186,0.000885,
2,50,2186,0.006612,
1,159,5000,0.006297,
2,159,5000,0.132183,
1,50,2198,0.000908,
2,50,2198,0.006666,
